N,Year,Title,Authors,Journal,Impact_factor_2019
69,2016,An acceptability estimation and analysis methodology based on Bayesian networks,"Giovanny Arbelaez Garces,Auguste Rakotondranaivo,Eric Bonjour",international journal of industrial ergonomics,1.662
72,2016,Creativity support systems: A systematic mapping study,"Alex Gabriel,Davy Monticolo,Mauricio Camargo,Mario Bourgault",thinking skills and creativity,2.068
70,2016,Multi-criteria decision analysis for the selection of sustainable chemical process routes during early design stages,"Juliana Serna,Esneider Díaz Martinez,Paulo Narváez Rincón,Mauricio Camargo,Daniel Galvez,Elvaro Orjuela",chemical engineering research and design,3.35
73,2016,Operational and system hazard analysis in a safe systems requirement engineering process – Application to automotive industry,"Pierre Mauborgne,Samuel Deniaud,Eric Levrat,Eric Bonjour,Jean-Pierre Micaëlli,Dominique Loise",safety science,4.105
65,2016,Biodiesel-triple bottom line (TBL): A new hierarchical sustainability assessment framework of principles criteria & indicators (PC&I) for biodiesel production. Part II-validation,"Sandra Bautista,M. Enjolras,P. Narvaez,Mauricio Camargo,Laure Morel",ecological indicators,4.229
66,2016,Biodiesel-TBL plus : A new hierarchical sustainability assessment framework of PC&I for biodiesel production - Part I,"Sandra Bautista,P. Narvaez,Mauricio Camargo,Olivier Chery,Laure Morel",ecological indicators,4.229
68,2016,Improving users' product acceptability: an approach based on Bayesian networks and a simulated annealing algorithm,"Giovanny Arbelaez Garces,Auguste Rakotondranaivo,Eric Bonjour",international journal of production research,4.577
74,2016,Sensitivity analysis of the damping properties of viscoelastic composite structures according to the layers thicknesses,"Komlan Akoussan,Hakim Boudaoud,El Mostafa Daya,Yao Koutsawa,Erasmo Carrera",composite structures,5.138
76,2016,Improving the idea selection process in creative workshops through contextualisation,"Alex Gabriel,Mauricio Camargo,Davy Monticolo,Vincent Boly,Mario Bourgault",journal of cleaner production,7.246
67,2016,Frugal Innovation or Frugal Renovation: How can Western Designers adopt Frugal Engineering?,"Jean-Pierre Micaelli,Joëlle Forest,Joelle Forest,Eric Bonjour,Dominique Loise",journal of innovation economics & management,NA
71,2016,Cost and efficiency assessment during deep energy refurbishment strategies: A case-study-based methodology,"Lamia Brissel,Laurent Dupont,Laure Morel,Claudine Guidat","international journal of energy, environment, economics",NA
75,2016,From descriptive customer data to need definition: a formalised approach,"Vincent Boly,Laure Morel,Mauricio Camargo,Helmi Ben Rejeb",international journal of product development,NA
77,2016,SMEs’ Innovation and Export Capabilities: Identification and Characterization of a Common Space Using Data Spatialization,"Manon Enjolras,Mauricio Camargo,Christophe Schmitt",journal of technology management and innovation,NA
