"","Year","Title","Journal","QScimago","IF2010","IF2011","IF2012","IF2013","IF2014","IF2015","IF2016","IF2017","IF2018","IF2019","IF2020","IF2021","IF2022","Impact.Factor","IF"
"1",2023,"A review on 3D printing of bioinspired hydrophobic materials: oil-water separation\, water harvesting\, and diverse applications","advanced composites and hybrid materials","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"2",2023,"Evaluation and Validation Process of Extended Reality Applications Developed in an Industrial Context: A Systematic Review","sn computer science","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"3",2023,"Enhancing vibration damping properties of additively manufactured viscoelastic structures through process parameter optimization","mechanics of advanced materials and structures","Q2",0.734,0.926,0.701,0.664,0.773,1,1.196,2.645,2.873,3.517,4.03,3.338,2.8,2.8,"Avec FI"
"4",2023,"Identifying blocking behaviors in small‐scale group decision‐making and their impact on consensus outcomes: A case study on forest management","journal of multi-criteria decision analysis","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"5",2023,"Life cycle assessment of filament production in distributed plastic recycling via additive manufacturing","cleaner waste systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"6",2023,"An approach to guide the search for potentially hazardous scenarios for autonomous vehicle safety validation","applied sciences","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"7",2023,"Open source IoT-based collection bin applied to local plastic recycling","hardwarex","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"8",2023,"“Do-It-Together” and Innovation: Transforming European Industry","journal of innovation economics & management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"9",2023,"Implementing Do-It-Together: The Cross-fertilization of Do-It-Yourself and Open Manufacturing,Mise en œuvre du Do-It-Together : le croisement du Do-It-Yourself et de la fabrication ouverte","journal of innovation economics & management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"10",2023,"Mariana Mazzucato (2021)\, Mission Economy: A Moonshot Guide to Changing Capitalism\, Allen Lane\, London\, 272 p.","journal of innovation economics & management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"11",2023,"Territorial dynamics supported by a collaborative network of innovation labs: toward an approach to establish a portfolio of indicators to monitor and assess their territorial impact","international journal of innovation and technology management","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"12",2023,"An ontology for the design of emulsion-based cosmetic products: Development and applications,Une ontologie pour la conception de produits cosmétiques à base d'émulsion : Développement et applications","computers & chemical engineering",NA,2.072,2.32,2.091,2.452,2.784,2.581,3.024,3.113,3.334,4,3.845,4.13,4.3,4.3,"Avec FI"
"13",2023,"Towards a Knowledge Base to Support the Management of the Design Process of Formulated Products","processes","Q2",NA,NA,NA,NA,NA,NA,NA,1.279,1.963,2.753,2.847,3.352,3.5,3.5,"Avec FI"
"14",2023,"Towards a Modeling of the Impacts of Road Verge Management on the Pollination Service Using System Dynamics: A Case Study in France,Vers une modélisation des impacts de la gestion des accotements routiers sur le service de pollinisation à l'aide de la dynamique des systèmes : Une étude de cas en France","applied mathematics","Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"15",2022,"Analytical modeling of deposited filaments for high viscosity material-based piston-driven direct ink writing","international journal of advanced manufacturing technology","Q1",1.071,1.103,1.205,1.779,1.458,1.568,2.209,2.601,2.496,2.633,3.226,3.563,3.4,3.4,"Avec FI"
"16",2022,"Numerical simulation and experimental validation of deposited corners of any angle in direct ink writing","international journal of advanced manufacturing technology","Q1",1.071,1.103,1.205,1.779,1.458,1.568,2.209,2.601,2.496,2.633,3.226,3.563,3.4,3.4,"Avec FI"
"17",2022,"Qualitative sustainability assessment of road verge management in France: An approach from causal diagrams to seize the importance of impact pathways","environmental impact assessment review","Q1",1.944,2.596,1.851,2.046,2.4,2.922,3.094,3.054,3.749,4.135,4.549,6.122,7.9,7.9,"Avec FI"
"18",2022,"Chaotic Honeybees Optimization Algorithms Approach for Traveling Salesperson Problem","complexity","Q2",1.367,1.02,1.333,1.029,1.041,3.514,4.621,1.829,2.591,2.462,2.833,2.121,2.3,2.3,"Avec FI"
"19",2022,"Feasibility study on the use of recycled materials for prototyping purposes: A comparative study based on the tensile strength","proceedings of the institution of mechanical engineers, part b: journal of engineering manufacture","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"20",2022,"Embedding non-industrial private forest owners in forest policy and bioeconomy issues using a Living Lab concept","forest policy and economics","Q1",0.895,1.482,1.638,1.81,1.856,1.552,1.982,2.496,3.099,3.139,3.673,4.259,4,4,"Avec FI"
"21",2022,"Relationship between innovation and exports in enterprises: A support tool for synergistic improvement plans","technological forecasting and social change","Q1",2.034,1.709,2.106,1.959,2.058,2.678,2.625,3.131,3.815,5.846,8.593,10.884,12,12,"Avec FI"
"22",2022,"Modeling and evaluation of freeform extruded filament based on numerical simulation method for direct ink writing","international journal of advanced manufacturing technology","Q1",1.071,1.103,1.205,1.779,1.458,1.568,2.209,2.601,2.496,2.633,3.226,3.563,3.4,3.4,"Avec FI"
"23",2022,"Non-linear vibration analysis of visco-elastically damped composite structures by multilevel finite elements and asymptotic numerical method","composites part c: open access","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"24",2022,"Approche systémique de l’évaluation des impacts d’une innovation : application à la mise en place d’un infirmier de liaison au Centre Hospitalier de Luxembourg","projectics / proyéctica / projectique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"25",2022,"Innovative Process for Furniture Design: Contributions of 3D Scan and Virtual Reality","computer-aided design and applications","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"26",2022,"General Methodology to Investigate the Effect of Process Parameters on the Vibration Properties of Structures Produced by Additive Manufacturing Using Fused Filament Fabrication","jom journal of the minerals, metals and materials society",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"27",2022,"Triggers for chemical product design: A systematic literature review","aiche journal","Q1",2.03,2.261,2.493,2.581,2.748,2.98,2.836,3.326,3.463,3.519,3.993,4.167,3.7,3.7,"Avec FI"
"28",2022,"Analyzing responsible innovation: an illustrative application to the case of the Research Network on Innovation,Analyse de l’innovation responsable : une application illustrative au cas du Réseau de Recherche sur l’Innovation","technologie et innovation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"29",2022,"DEEP\, a methodology for entity extraction using organizational patterns: application to job offers","knowledge-based systems","Q1",1.574,2.422,4.104,3.058,2.947,3.325,4.529,4.396,5.101,5.921,8.038,8.139,8.8,8.8,"Avec FI"
"30",2022,"Towards an improved acceptability assessment model of innovative solutions in the design phase","international journal of business information systems","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"31",2022,"Social\, political\, and technological dimensions of the sustainability evaluation of a recycling network. A literature review","cleaner engineering and technology","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"32",2022,"Innovation Spaces as Drivers of Eco-innovations Supporting the Circular Economy: A Systematic Literature Review","journal of innovation economics & management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"33",2022,"Evaluation of tech ventures' evolving business models: rules for performance-related classification","international journal of entrepreneurial venturing","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"34",2022,"Agile supply chain analytic approach: a case study combining agile and CRISP-DM in an end-to-end supply chain","supply chain forum: an international journal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"35",2021,"Toward a holistic understanding of performance in Lean Manufacturing: a discussion on the relevance of its indicators","international journal of lean six sigma","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.511,3.329,5.686,4,5.686,"Avec FI"
"36",2021,"Innovation Capacity of City Administrations: A Best Practices Approach","journal of innovation economics & management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"37",2021,"Vehicle Routing Problem with Deadline and Stochastic Service Times: Case of the Ice Cream Industry in Santiago City of Chile","mathematics","Q2",NA,NA,NA,NA,NA,NA,NA,NA,1.105,1.747,2.258,2.592,2.4,2.592,"Avec FI"
"38",2021,"Chemical product design integrating MCDA : Performance prediction and human preferences modelling","the canadian journal of chemical engineering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"39",2021,"A multi-stakeholder system-based methodology to evaluate the needs of innovation ecosystems","research in engineering design",NA,1.25,1.243,1.562,1.944,1.233,1.786,2.297,2.625,2,2.224,2.655,2.964,3.2,2.964,"Avec FI"
"40",2021,"Developing the persona method to increase the commitment of non-industrial private forest owners in French forest policy priorities","forest policy and economics","Q1",0.895,1.482,1.638,1.81,1.856,1.552,1.982,2.496,3.099,3.139,3.673,4.259,4,4.259,"Avec FI"
"41",2021,"Sustainability analysis for the design of distributed energy systems: A multi-objective optimization approach","applied energy","Q1",3.915,5.106,4.781,5.261,5.613,5.746,7.182,7.9,8.426,8.848,9.746,11.446,11.2,11.446,"Avec FI"
"42",2021,"Methodology for Emulsion Design Based on Emulsion Science and Expert Knowledge. Part 2: An Application in the Cosmetics Sector","industrial and engineering chemistry research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"43",2021,"Design of Formulated Products Integrating Heuristic Knowledge and Consumer Assessment","aiche journal","Q1",2.03,2.261,2.493,2.581,2.748,2.98,2.836,3.326,3.463,3.519,3.993,4.167,3.7,4.167,"Avec FI"
"44",2021,"A new methodology to support smartness at the district level of metropolitan areas in emerging economies: The case of Santiago de Chile","sustainable cities and society","Q1",NA,NA,NA,NA,NA,1.044,1.777,3.073,4.624,5.268,7.587,10.696,11.7,10.696,"Avec FI"
"45",2021,"Optimizing Process Parameters of Direct Ink Writing for Dimensional Accuracy of Printed Layers","3d printing and additive manufacturing","Q1",NA,NA,NA,NA,NA,NA,3.389,2.304,3.259,3.579,5.449,5.355,3.1,5.355,"Avec FI"
"46",2021,"Multi-criteria Optimization for the Design and Operation of Distributed Energy Systems Considering Sustainability Dimensions","energy","Q1",3.597,3.487,3.651,4.159,4.844,4.292,4.52,4.968,5.537,6.082,7.147,8.857,9,8.857,"Avec FI"
"47",2021,"Analyse et évaluation du développement territorial durable","marché et organisations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"48",2021,"A Methodology for Emulsion Design Based on Emulsion Science and Expert Knowledge. Part 1: Conceptual Approach","industrial and engineering chemistry research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"49",2021,"Open-Source Script for Design and 3D Printing of Porous Structures for Soil Science","technologies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"50",2020,"3D printing: An emerging opportunity for soil science","geoderma","Q1",2.178,2.318,2.345,2.509,2.772,2.855,4.036,3.74,4.336,4.848,6.114,7.422,6.1,6.114,"Avec FI"
"51",2020,"Conversion of self-contained breathing apparatus mask to open source powered air-purifying particulate respirator for fire fighter COVID-19 response","hardwarex","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"52",2020,"Partially RepRapable automated open source bag valve mask-based ventilator","hardwarex","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"53",2020,"Parametric nasopharyngeal swab for sampling COVID-19 and other respiratory viruses: Open source design\, SLA 3-D printing and UV curing system","hardwarex","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"54",2020,"Open source high-temperature RepRap for 3-D printing heat-sterilizable PPE and other applications","hardwarex","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
