Year;Type.document;Title;Authors;DOI;Journal;Scimago<br/>Engineering;Scimago<br/>Decision<br/>Sciences;Publisher;Conference;Language;Url;H.Factor
2021;ART;Sustainability analysis for the design of distributed energy systems: A multi-objective optimization approach;Juan Fonseca,Jean-Marc Commenge,Mauricio Camargo,Laurent Falk,Iván Gil;10.1016/j.apenergy.2021.116746;applied energy;Q1;NA;Elsevier;NA;en;https://hal.archives-ouvertes.fr/hal-03161645;189
2021;ART;Methodology for Emulsion Design Based on Emulsion Science and Expert Knowledge. Part 2: An Application in the Cosmetics Sector;Juliana Serna,Paulo Narváez Rincón,Véronique Falk,Vincent Boly,Mauricio Camargo;10.1021/acs.iecr.1c00866;industrial and engineering chemistry research;NA;NA;American Chemical Society;NA;en;https://hal.archives-ouvertes.fr/hal-03218909;NA
2021;ART;Design of Formulated Products Integrating Heuristic Knowledge and Consumer Assessment;Javier Arrieta-Escobar,Mauricio Camargo,Laure Morel,Fernando Bernardo,Alvaro Orjuela,Laurent Wendling;10.1002/aic.17117;aiche journal;NA;NA;Wiley;NA;en;https://hal.archives-ouvertes.fr/hal-03087237;NA
2021;ART;A new methodology to support smartness at the district level of metropolitan areas in emerging economies: The case of Santiago de Chile;Francisco Ramirez,Pedro Palominos,Mauricio Camargo,Didier Grimaldi;10.1016/j.scs.2021.102713;sustainable cities and society;Q1;NA;Elsevier;NA;en;https://hal.archives-ouvertes.fr/hal-03119192;43
2021;ART;Developing the persona method to increase the commitment of non-industrial private forest owners in French forest policy priorities;Maxence Arnould,Laure Morel,Meriem Fournier;10.1016/j.forpol.2021.102425;forest policy and economics;NA;NA;Elsevier;NA;en;https://hal.univ-lorraine.fr/hal-03155739;NA
2021;ART;A Methodology for Emulsion Design Based on Emulsion Science and Expert Knowledge. Part 1: Conceptual Approach;Juliana Serna,Paulo Narváez Rincón,Véronique Falk,Vincent Boly,Mauricio Camargo;10.1021/acs.iecr.0c04942;industrial and engineering chemistry research;NA;NA;American Chemical Society;NA;en;https://hal.archives-ouvertes.fr/hal-03147675;NA
2021;ART;Multi-criteria Optimization for the Design and Operation of Distributed Energy Systems Considering Sustainability Dimensions;Juan Fonseca,Jean-Marc Commenge,Mauricio Camargo,Laurent Falk,Iván Gil;10.1016/j.energy.2020.118989;energy;Q1;NA;Elsevier;NA;en;https://hal.archives-ouvertes.fr/hal-02962107;173
2021;COMM;Digital Collaborations for the Common Good: Key Learnings from Four Community Projects;Alejandro Salas,Giovanny Arbelaez Garces,Ferney Osorio,Laurent Dupont;NA;NA;NA;NA;NA;Swiss Design Network Symposium 202. Design as Common GoodFraming Design through Pluralism and Social Values;en;https://hal.univ-lorraine.fr/hal-03186697;NA
2021;COUV;Progressive University Technology Transfer of Innovation Capabilities to SMEs: An Active and Modular Educational Partnership;Mauricio Camargo,Laure Morel,Pascal Lhoste;10.1007/978-3-030-61477-5_11;NA;NA;NA;NA;NA;en;https://hal.archives-ouvertes.fr/hal-03140931;NA
2021;OTHER;Analyse et évaluation du développement territorial durable;Fedoua Kasmi;10.3917/maorg.040.0187;marché et organisations;NA;NA;L'Harmattan;NA;fr;https://hal.univ-lorraine.fr/hal-03186866;NA
