"Url";"Title";"Authors";"Type.document";"DOI";"Year";"Journal";"Publisher";"Conference";"Scopus";"Quartile-Scimago-Engineering";"H.Factor";"Categories"
"https://hal.univ-lorraine.fr/hal-03506898";"Toward a holistic understanding of performance in Lean Manufacturing: a discussion on the relevance of its indicators";"Diana Cardenas-Cristancho,Laurent Muller,Davy Monticolo,Mauricio Camargo";"ART";"10.1108/IJLSS-10-2020-0163";"2021";"international journal of lean six sigma";"Emerald Publishing";NA;"Oui";"Q2";"38";"Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)"
"https://hal.archives-ouvertes.fr/hal-03590438";"Innovation Spaces as Drivers of Eco-innovations Supporting the Circular Economy: A Systematic Literature Review";"Fédoua Kasmi,Ferney Osorio,Laurent Dupont,Brunelle Marche,Mauricio Camargo";"ART";"10.3917/jie.pr1.0113";"2021";"journal of innovation economics & management";"De Boeck Supérieur";NA;"Non";NA;NA;NA
"https://hal.univ-lorraine.fr/hal-03411558";"Vehicle Routing Problem with Deadline and Stochastic Service Times: Case of the Ice Cream Industry in Santiago City of Chile";"Sebastián Dávila,Miguel Alfaro,Guillermo Fuertes,Manuel Vargas,Mauricio Camargo";"ART";"10.3390/math9212750";"2021";"mathematics";"MDPI";NA;"Oui";NA;NA;NA
"https://hal.archives-ouvertes.fr/hal-03033524";"Chemical product design integrating MCDA : Performance prediction and human preferences modelling";"Oscar Yesid Suárez Palacios,Paulo César Narváez Rincón,Mauricio Camargo,Jean-Pierre Corriou,Christian Fonteix";"ART";"10.1002/cjce.23956";"2021";"the canadian journal of chemical engineering";NA;NA;"Non";NA;NA;NA
"https://hal.univ-lorraine.fr/hal-03344448";"Open-Source Script for Design and 3D Printing of Porous Structures for Soil Science";"Romain Bedell,Alaa Hassan,Anne-Julie Tinet,Javier Arrieta-Escobar,Delphine Derrien,Marie-France Dignac,Vincent Boly,Stéphanie Ouvrard,Joshua Pearce";"ART";"10.3390/technologies9030067";"2021";"technologies";"MDPI";NA;"Non";NA;NA;NA
"https://hal.archives-ouvertes.fr/hal-03161645";"Sustainability analysis for the design of distributed energy systems: A multi-objective optimization approach";"Juan Fonseca,Jean-Marc Commenge,Mauricio Camargo,Laurent Falk,Iván Gil";"ART";"10.1016/j.apenergy.2021.116746";"2021";"applied energy";"Elsevier";NA;"Oui";"Q1";"212";"Building and Construction (Q1); Energy (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1); Mechanical Engineering (Q1)"
"https://hal.archives-ouvertes.fr/hal-03218909";"Methodology for Emulsion Design Based on Emulsion Science and Expert Knowledge. Part 2: An Application in the Cosmetics Sector";"Juliana Serna,Paulo Narváez Rincón,Véronique Falk,Vincent Boly,Mauricio Camargo";"ART";"10.1021/acs.iecr.1c00866";"2021";"industrial and engineering chemistry research";"American Chemical Society";NA;"Non";NA;NA;NA
"https://hal.archives-ouvertes.fr/hal-03119192";"A new methodology to support smartness at the district level of metropolitan areas in emerging economies: The case of Santiago de Chile";"Francisco Ramirez,Pedro Palominos,Mauricio Camargo,Didier Grimaldi";"ART";"10.1016/j.scs.2021.102713";"2021";"sustainable cities and society";"Elsevier";NA;"Oui";"Q1";"61";"Civil and Structural Engineering (Q1); Geography, Planning and Development (Q1); Renewable Energy, Sustainability and the Environment (Q1); Transportation (Q1)"
"https://hal.archives-ouvertes.fr/hal-03087237";"Design of Formulated Products Integrating Heuristic Knowledge and Consumer Assessment";"Javier Arrieta-Escobar,Mauricio Camargo,Laure Morel,Fernando Bernardo,Alvaro Orjuela,Laurent Wendling";"ART";"10.1002/aic.17117";"2021";"aiche journal";"Wiley";NA;"Oui";NA;NA;NA
"https://hal.univ-lorraine.fr/hal-03155739";"Developing the persona method to increase the commitment of non-industrial private forest owners in French forest policy priorities";"Maxence Arnould,Laure Morel,Meriem Fournier";"ART";"10.1016/j.forpol.2021.102425";"2021";"forest policy and economics";"Elsevier";NA;"Oui";NA;NA;NA
"https://hal.archives-ouvertes.fr/hal-03506849";"Optimizing Process Parameters of Direct Ink Writing for Dimensional Accuracy of Printed Layers";"Yongqiang Tu,Javier Arrieta-Escobar,Alaa Hassan,Uzair Khaleeq Uz Zaman,Ali Siadat,Gongliu Yang";"ART";"10.1089/3dp.2021.0208";"2021";"3d printing and additive manufacturing";"Mary Ann Liebert Inc.";NA;"Oui";"Q1";"26";"Industrial and Manufacturing Engineering (Q1); Materials Science (miscellaneous) (Q1)"
"https://hal.archives-ouvertes.fr/hal-03247542";"A multi-stakeholder system-based methodology to evaluate the needs of innovation ecosystems";"Mauricio Camargo,Pedro Palominos,Brunelle Marche,Francisco Toledo,Vincent Boly,Miguel Alfaro";"ART";"10.1007/s00163-021-00368-7";"2021";"research in engineering design";"Springer Verlag";NA;"Non";NA;NA;NA
"https://hal.archives-ouvertes.fr/hal-03147675";"A Methodology for Emulsion Design Based on Emulsion Science and Expert Knowledge. Part 1: Conceptual Approach";"Juliana Serna,Paulo Narváez Rincón,Véronique Falk,Vincent Boly,Mauricio Camargo";"ART";"10.1021/acs.iecr.0c04942";"2021";"industrial and engineering chemistry research";"American Chemical Society";NA;"Non";NA;NA;NA
"https://hal.archives-ouvertes.fr/hal-02962107";"Multi-criteria Optimization for the Design and Operation of Distributed Energy Systems Considering Sustainability Dimensions";"Juan Fonseca,Jean-Marc Commenge,Mauricio Camargo,Laurent Falk,Iván Gil";"ART";"10.1016/j.energy.2020.118989";"2021";"energy";"Elsevier";NA;"Oui";"Q1";"193";"Building and Construction (Q1); Civil and Structural Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Fuel Technology (Q1); Industrial and Manufacturing Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
"https://hal.univ-lorraine.fr/hal-03551585";"Optimal Design of Energy Systems in Isolated Zones Using Sustainability Indicators. A Case Study in the Colombian Amazon";"Juan Fonseca,Jean-Marc Commenge,Mauricio Camargo,Laurent Falk,Ivan Gil";"COMM";"10.1109/ICSC50472.2021.9666597";"2021";NA;NA;"2021 9th International Conference on Systems and Control (ICSC)";"Non";NA;NA;NA
