uri_s,title_s,authFullName_s,docType_s,doiId_s,publicationDateY_i,producedDate_s,journalTitle_s,journalPublisher_s,conferenceTitle_s,language_s
https://hal.univ-lorraine.fr/hal-01522705,Well-suited organization to open innovation: empirical evidence from an industrial deployment,"Alexis Steiner,Laure Morel,Mauricio Camargo",ART,10.3917/jie.013.0093,2014,2014,Journal of Innovation Economics & Management,De Boeck Supérieur,,en
https://hal.archives-ouvertes.fr/hal-01863819,3D-Printing Based Distributed Plastic Recycling: A Conceptual Model for Closed-Loop Supply Chain Design,"Santander Pavlo,Cruz Fabio,Boudaoud Hakim,Camargo Mauricio",COMM,10.1109/ICE.2018.8436296,2018,2018-06-17,,,"2018 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",en
https://hal.univ-lorraine.fr/hal-02482689,Nouvelle dynamique des mélanges fluides continus Partie 1 : En relativité restreinte,"C. Fonteix,Dimitrios Meimaroglou,M. Camargo,M. Feidt",UNDEFINED,,2020,2020-02-18,,,,fr
https://hal.univ-lorraine.fr/hal-02482702,Nouvelle dynamique des mélanges fluides continus Part 2 : En relativité générale,"C. Fonteix,Dimitrios Meimaroglou,M. Camargo,M. Feidt",UNDEFINED,,2020,2020-02-18,,,,fr
https://hal.univ-lorraine.fr/hal-02877827,"Dynamique des mélanges fluides continus Part 2 : bilans de quantité de mouvement\, d'énergie et d'entropie par constituant","Christian Fonteix,Michel Feidt,Mauricio Camargo",UNDEFINED,,2020,2020,,,,fr
https://hal.univ-lorraine.fr/hal-02877862,Dynamique des mélanges fluides continus Part 3 : Nouvelle modélisation des forces d'interaction entre molécules et des non-linéarités de la diffusion,"Christian Fonteix,Michel Feidt,Mauricio Camargo",UNDEFINED,,2020,2020,,,,fr
https://hal.univ-lorraine.fr/hal-01959521,A new framework to support Lean Six Sigma deployment in SMEs,"Carlos Abraham Moya,Daniel Galvez,Laurent Muller,Mauricio Camargo",ART,10.1108/IJLSS-01-2018-0001,2018,2018-12-14,International Journal of Lean Six Sigma,Emerald Publishing,,en
https://hal.archives-ouvertes.fr/hal-01567444,The determination of functional safety concept coupled with the definition of functional architecture: A framework of analysis from the automotive industry,"Pierre Mauborgne,Samuel Deniaud,Eric Levrat,Eric Bonjour,Jean-Pierre Micaelli,Dominique Loise",COMM,,2017,2017-07-09,,,"20th IFAC World Congress, IFAC 2017",en
https://hal.archives-ouvertes.fr/hal-00872096,Unification of the a priori inconsistencies checking among assembly constraints in assembly sequence planning.,"Christophe Perrard,Eric Bonjour",ART,10.1007/s00170-013-4885-1,2013,2013,International Journal of Advanced Manufacturing Technology,Springer Verlag,,en
https://hal.archives-ouvertes.fr/hal-02984917,Definition and verification of functional safety concepts for the definition of safe logical architectures,"Pierre Mauborgne,Eric Bonjour,Christophe Perrard,Samuel Deniaud,Eric Levrat,Jean-Pierre Micaëlli,Dominique Loise",COMM,,2017,2017-12-12,,,"8th International Conference on Complex Systems Design & Management, CSD&M’17",en
https://hal.archives-ouvertes.fr/hal-00799851,A priori checking inconsistencies among strategic constraints for assembly plan generation.,"Christophe Perrard,Eric Bonjour",ART,10.1007/s00170-012-3942-5,2012,2012-03-09,International Journal of Advanced Manufacturing Technology,Springer Verlag,,en
https://hal.archives-ouvertes.fr/hal-02378279,De l’expérience aux compétences en langues : le rôle des écrits réflexifs dans le processus d’autonomisation des étudiants,"Maud Ciekanski,Sophie Bailly,Anne Chateau,Peggy Candas,R. Bary,M. Rees",COUV,,2016,2016,,,,fr
https://hal.archives-ouvertes.fr/hal-02427540,Safety demonstration of autonomous vehicles: a review and future research questions,"Tchoya Florence Kone,Eric Bonjour,Eric Levrat,Frédérique Mayer,Stéphane Géronimi",COMM,10.1007/978-3-030-34843-4_15,2019,2019-12-12,,,"10th Complex Systems Design & Management, CSD&M 2019",en
https://hal.archives-ouvertes.fr/hal-02984932,Safety assessment of scenarios for the simulation-based validation process of AV with regards to its functional insufficiencies,"Tchoya Florence Koné,Eric Bonjour,Eric Levrat,Frédérique Mayer,Stéphane Géronimi",COMM,,2020,2020-11-01,,,"30th European Safety and Reliability Conference and 15th Probabilitic Safety Assessment and Management Conference, ESREL 2020 PSAM 15",en
https://hal.archives-ouvertes.fr/hal-02984936,Challenges for autonomous vehicles (AVs) engineering: Safety validation of functional performance limitations,"Tchoya Florence Koné,Eric Bonjour,Eric Levrat,Frédérique Mayer,Stéphane Géronimi",ART,10.1002/inst.12270,2019,2019-12,INSIGHT - International Council on Systems Engineering (INCOSE),Wiley,,en
https://hal.archives-ouvertes.fr/hal-01061475,PII- Potential Innovation Index: a tool to benchmark innovation capabilities in international context.,"Daniel Galvez\,,Mauricio Camargo,Julio Rodriguez Rey,Laure Morel",ART,10.4067/S0718-27242013000500004,2013,2013-12,Journal of Technology Management & Innovation,,,en
