"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold,5 Year JIF,JCI Rank,JCI Quartile,JIF Rank,Immediacy Index,JIF Without Self Cites,5 Year JIF Quartile,JCI Percentile,Eigenfactor
"Chemical Engineering Journal","CHEM ENG J","1385-8947","1873-3212","ENGINEERING, CHEMICAL - SCIE","330,617","15.1","Q1","1.99","5.78"%,"14.3"," 6/160 ","Q1"," 5/142 ","3.6","13.7","Q1","96.56","0.299",
"Chemical Engineering Journal","CHEM ENG J","1385-8947","1873-3212","ENGINEERING, ENVIRONMENTAL - SCIE","330,617","15.1","Q1","1.99","5.78"%,"14.3"," 3/75 ","Q1"," 3/55 ","3.6","13.7","Q1","96.67","0.299",
"Journal of Cleaner Production","J CLEAN PROD","0959-6526","1879-1786","ENGINEERING, ENVIRONMENTAL - SCIE","295,285","11.1","Q1","1.53","10.15"%,"11"," 6/75 ","Q1"," 8/55 ","2.5","10.1","Q1","92.67","0.273",
"ENVIRONMENTAL SCIENCE & TECHNOLOGY","ENVIRON SCI TECHNOL","0013-936X","1520-5851","ENGINEERING, ENVIRONMENTAL - SCIE","249,799","11.4","Q1","1.44","9"%,"12"," 7/75 ","Q1"," 7/55 ","2.2","10.3","Q1","91.33","0.152",
"JOURNAL OF HAZARDOUS MATERIALS","J HAZARD MATER","0304-3894","1873-3336","ENGINEERING, ENVIRONMENTAL - SCIE","208,425","13.6","Q1","1.93","6.97"%,"12.7"," 4/75 ","Q1"," 4/55 ","2.7","12.8","Q1","95.33","0.149",
"APPLIED CATALYSIS B-ENVIRONMENTAL","APPL CATAL B-ENVIRON","0926-3373","1873-3883","ENGINEERING, CHEMICAL - SCIE","159,057","22.1","Q1","3.14","8.83"%,"19.7"," 2/160 ","Q1"," 3/142 ","5.3","20.7","Q1","99.06","0.144",
"APPLIED CATALYSIS B-ENVIRONMENTAL","APPL CATAL B-ENVIRON","0926-3373","1873-3883","ENGINEERING, ENVIRONMENTAL - SCIE","159,057","22.1","Q1","3.14","8.83"%,"19.7"," 1/75 ","Q1"," 1/55 ","5.3","20.7","Q1","99.33","0.144",
"APPLIED ENERGY","APPL ENERG","0306-2619","1872-9118","ENGINEERING, CHEMICAL - SCIE","156,087","11.2","Q1","1.65","19.16"%,"11"," 11/160 ","Q1"," 9/142 ","2.6","10","Q1","93.44","0.141",
"WATER RESEARCH","WATER RES","0043-1354","1879-2448","ENGINEERING, ENVIRONMENTAL - SCIE","144,182","12.8","Q1","2.15","17.38"%,"13.3"," 2/75 ","Q1"," 6/55 ","2.7","11.6","Q1","98.00","0.088",
"Fuel","FUEL","0016-2361","1873-7153","ENGINEERING, CHEMICAL - SCIE","131,611","7.4","Q1","1.16","7.78"%,"7"," 17/160 ","Q1"," 19/142 ","2","5.9","Q1","89.69","0.088",
