uri_s,title_s,subTitle_s,authFullName_s,docType_s,doiId_s,producedDateY_i,journalTitle_s,journalPublisher_s,conferenceTitle_s,language_s
https://hal.archives-ouvertes.fr/hal-02520650,Thermoplastic elastomer filaments for multi-polymer structures by fused deposition modeling,,"Jennifer Villamil,A El Akroud,Sandrine Hoppe,Hakim Boudaoud,Cécile Nouvel",POSTER,,2020,,,", 48ème International Colloquium of the French Polymer Society GFP",en
https://hal.archives-ouvertes.fr/hal-02984932,Safety assessment of scenarios for the simulation-based validation process of AV with regards to its functional insufficiencies,,"Tchoya Florence Koné,Eric Bonjour,Eric Levrat,Frédérique Mayer,Stéphane Géronimi",COMM,,2020,,,"30th European Safety and Reliability Conference and 15th Probabilitic Safety Assessment and Management Conference, ESREL 2020 PSAM 15",en
https://hal.univ-lorraine.fr/hal-02917327,3D printing: An emerging opportunity for soil science,,"Javier Arrieta-Escobar,Delphine Derrien,Stéphanie Ouvrard,Elnaz Asadollahi-Yazdi,Alaa Hassan,Vincent Boly,Anne-Julie Tinet,Marie-France Dignac",ART,10.1016/j.geoderma.2020.114588,2020,Geoderma,,,en
https://hal.archives-ouvertes.fr/hal-02942122,Design Thinking to Enhance Requirements Analysis in Systems Engineering,,"J. Batista,A. Hassan,E. Bonjour",COMM,10.1017/dsd.2020.257,2020,,,DESIGN 2020,en
https://hal.univ-lorraine.fr/hal-03005576,Gestion informatisée des lits : état des lieux et analyse a priori des impacts multicritères.,,"Auguste Rakotondranaivo,Sophie Pottier",COMM,,2020,,,10ème conférence francophone en Gestion et Ingénierie des Systèmes Hospitaliers,fr
https://hal.univ-lorraine.fr/hal-03000609,Evaluating Innovation and Export Capabilities of SMEs: Toward a Multi-Criteria Decision-Making Methodology,,"Manon Enjolras,Mauricio Camargo,Christophe Schmitt",ART,,2020,Journal of Technology Management and Innovation,Universidad Alberto Hurtado,,en
https://hal.archives-ouvertes.fr/hal-02962107,Multi-criteria Optimization for the Design and Operation of Distributed Energy Systems Considering Sustainability Dimensions,,"Juan Fonseca,Jean-Marc Commenge,Mauricio Camargo,Laurent Falk,Iván Gil",ART,10.1016/j.energy.2020.118989,2020,Energy,Elsevier,,en
https://hal.univ-lorraine.fr/hal-03005570,Decision support tool for the food supply chain to prevent undernutrition in the elderly at home,,"Auguste Rakotondranaivo,Christine Miro,Sarah Ferhah,Nathalie Rouyer",COMM,,2020,,,SHeIC 2020 : Smart Health International Conference,en
https://hal.archives-ouvertes.fr/hal-02940313,An Approach Based on Bayesian Network for Improving Project Management Maturity: An Application to Reduce Cost Overrun Risks in Engineering Projects,,"Felipe Sanchez,Eric Bonjour,Jean-Pierre Micaelli,Davy Monticolo",ART,10.1016/j.compind.2020.103227,2020,Computers in Industry,Elsevier,,en
https://hal.archives-ouvertes.fr/hal-02560191,Plastic recycling in additive manufacturing: a systematic literature review and opportunities for the circular economy,,"Fabio Cruz Sanchez,Hakim Boudaoud,Mauricio Camargo,Joshua Pearce",ART,10.1016/j.jclepro.2020.121602,2020,Journal of Cleaner Production,Elsevier,,en
https://hal.inria.fr/hal-02974679,Définition d'une méthodologie d'indexation de documents textuels par étiquetage de séquences : application aux offres d'emploi,,"H Ramdani,A Brun,E Bonjour,D Monticolo",COMM,,2020,,,Conférence Nationale sur les Applications Pratiques de l’Intelligence Artificielle - APIA 2020,fr
https://hal.univ-lorraine.fr/hal-02941618,Designing interactive museum visitors' experience using a Fab Living Lab platform: the Museum-Aquarium of Nancy case,,"Ievgeniia Ten,Giovanny Arbelaez-Garces,Laurent Dupont",COMM,10.1109/ICE/ITMC49519.2020.9198641,2020,,,"2020 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",en
https://hal.archives-ouvertes.fr/hal-02941900,Connecting the strategic intent of innovation labs and projects: the case of the Green Fablab,,"Thibaut Roux-Marchand,Fabio Cruz,Laurent Dupont,Mauricio Camargo,Ferney Osorio",COMM,10.1109/ICE/ITMC49519.2020.9198320,2020,,,"2020 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",en
