"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'ACOUSTICS','AGRICULTURAL ECONOMICS & POLICY','AGRICULTURAL ENGINEERING','AGRICULTURE, DAIRY & ANIMAL SCIENCE','AGRICULTURE, MULTIDISCIPLINARY','AGRONOMY','AUTOMATION & CONTROL SYSTEMS','BEHAVIORAL SCIENCES','BIOCHEMICAL RESEARCH METHODS','BIOCHEMISTRY & MOLECULAR BIOLOGY','BIODIVERSITY CONSERVATION','BIOLOGY','BIOPHYSICS','BIOTECHNOLOGY & APPLIED MICROBIOLOGY','BUSINESS','BUSINESS, FINANCE','COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE','COMPUTER SCIENCE, CYBERNETICS','COMPUTER SCIENCE, HARDWARE & ARCHITECTURE','COMPUTER SCIENCE, INFORMATION SYSTEMS','COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS','COMPUTER SCIENCE, SOFTWARE ENGINEERING','COMPUTER SCIENCE, THEORY & METHODS','CONSTRUCTION & BUILDING TECHNOLOGY','ECOLOGY','ECONOMICS','ENERGY & FUELS','ENGINEERING, AEROSPACE','ENGINEERING, BIOMEDICAL','ENGINEERING, CHEMICAL','ENGINEERING, CIVIL','ENGINEERING, ELECTRICAL & ELECTRONIC','ENGINEERING, ENVIRONMENTAL','ENGINEERING, GEOLOGICAL','ENGINEERING, INDUSTRIAL','ENGINEERING, MANUFACTURING','ENGINEERING, MARINE','ENGINEERING, MECHANICAL','ENGINEERING, MULTIDISCIPLINARY','ENGINEERING, OCEAN','ENGINEERING, PETROLEUM','ENTOMOLOGY','MANAGEMENT','MARINE & FRESHWATER BIOLOGY','MATERIALS SCIENCE, BIOMATERIALS','MATERIALS SCIENCE, CERAMICS','MATERIALS SCIENCE, CHARACTERIZATION & TESTING','MATERIALS SCIENCE, COATINGS & FILMS','MATERIALS SCIENCE, COMPOSITES','MATERIALS SCIENCE, MULTIDISCIPLINARY','MATERIALS SCIENCE, PAPER & WOOD','MATERIALS SCIENCE, TEXTILES','MATHEMATICS, APPLIED','MATHEMATICS, INTERDISCIPLINARY APPLICATIONS','MECHANICS','METALLURGY & METALLURGICAL ENGINEERING','MULTIDISCIPLINARY SCIENCES','OPERATIONS RESEARCH & MANAGEMENT SCIENCE' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,Nature Reviews Materials,"12,657",71.189,0.052880
2,NATURE REVIEWS DRUG DISCOVERY,"33,156",64.797,0.049210
3,Nature Energy,"17,747",46.495,0.067320
4,NATURE,"767,246",42.779,1.217140
5,SCIENCE,"699,875",41.846,1.023100
6,NATURE MATERIALS,"99,502",38.663,0.158590
7,CELL,"258,182",38.637,0.565100
8,NATURE BIOTECHNOLOGY,"63,979",36.553,0.156740
9,NATURE MEDICINE,"85,221",36.130,0.168870
10,PROGRESS IN MATERIALS SCIENCE,"17,409",31.560,0.020950
11,Nature Nanotechnology,"65,923",31.538,0.140900
12,NATURE METHODS,"72,486",30.822,0.205760
13,Energy & Environmental Science,"86,899",30.289,0.159110
14,Joule,"7,755",29.155,0.023510
15,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"12,727",28.938,0.010510
16,Nature Electronics,"1,927",27.500,0.007870
17,ADVANCED MATERIALS,"264,939",27.398,0.485370
18,MATERIALS SCIENCE & ENGINEERING R-REPORTS,"7,964",26.625,0.005680
19,Materials Today,"15,572",26.416,0.022250
20,Annual Review of Biochemistry,"20,499",25.787,0.024800
21,Advanced Energy Materials,"67,558",25.245,0.169210
22,IEEE Communications Surveys and Tutorials,"18,995",23.700,0.041030
23,ACS Energy Letters,"18,351",19.003,0.059780
24,Nature Biomedical Engineering,"3,143",18.952,0.014210
25,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,"52,888",17.861,0.065590
26,BEHAVIORAL AND BRAIN SCIENCES,"9,392",17.333,0.008130
27,Nano Today,"8,882",16.907,0.013260
28,ADVANCED FUNCTIONAL MATERIALS,"116,431",16.836,0.214480
29,National Science Review,"2,775",16.693,0.009770
30,APPLIED CATALYSIS B-ENVIRONMENTAL,"97,041",16.683,0.120600
31,Nano Energy,"52,300",16.602,0.115870
32,Annual Review of Marine Science,"4,445",16.359,0.009100
33,Annual Review of Fluid Mechanics,"13,312",16.306,0.010730
34,Energy Storage Materials,"8,456",16.280,0.016400
35,Advanced Science,"14,599",15.840,0.039540
36,MOLECULAR CELL,"69,148",15.584,0.166190
37,Annual Review of Biomedical Engineering,"4,698",15.541,0.004900
38,Molecular Cancer,"15,448",15.302,0.024010
39,TRENDS IN COGNITIVE SCIENCES,"27,698",15.218,0.036110
40,PROGRESS IN LIPID RESEARCH,"6,139",15.083,0.005720
